,A1,A2,A3,label,text,index
72,4,1,3,0,"user user user_scientists ho letto banchi a rotelle e mi sono venuti i brividi... certo in teoria sarebbe meglio non buttare soldi. il problema vero di reithera è di essere un vaccino tradizionale, non rna. se il risultato è un altro az o jj che non vorrà nessuno, tanto vale fermarsi e investire in rna",B112
86,5,4,1,1,"i #magistrati se ne fottono di anziani e fragili, vogliono i #vaccini per se stessi. una casta più pericolosa di altre.",B366
90,3,4,6,1,"sul mio pianeta ideale,  gli #istigatori alla violenza che nei #mediaspazzatura offendono, minacciano e incitano all'odio, vivrebbero a 666 metri di altezza, con vento forza 4, in punta di piedi su uno spago, in perenne equilibrio instabile.   #telegram #novax link",B207
92,6,4,1,1,"rivolto a chi si riconosce! brutti stronzi! adesso che la lombardia e le regioni di destra sono prime nelle vaccinazioni, non dite più nulla? link",B226
110,6,4,5,1,"le spie non sono solo nei film. lo dimostra la vicenda dell’ufficiale arrestato mentre passava ai russi documenti riservati. atto ostile, dice la farnesina mentre mosca minaccia ritorsioni cioè l’espulsione di qualche nostro diplomatico. putin non vende solo vaccini sputnik... link",B345
140,5,4,3,1,"mio padre mi ha salutato questa mattina con ""mi sa che non andremo a venezia il *data mio vaccino*, temo saranno costretti a sospendere astrazeneca.""  l'ottimismo è il profumo della vita e il buongiorno si vede dal mattino!",B333
160,5,1,3,2,"a #controcorrente #fedriga nega che il vaccino crei le nuove varianti. poi ""io sono favorevole alle scelte del governo fino ad oggi compreso il #greenpass "".  il centrodestra che dovremmo votare.",B438
182,3,1,4,2,"covid, muore a 52 anni dopo il vaccino pfizer: richiesta autopsia | virgilionotizie link",B283
189,2,4,1,1,"user user ma lo vogliamo capire che il virus non verrà sconfitto dai vaccini ,che servono per evitare di prendere il covid in forma lieve o comunque non mortale",B350
197,1,5,3,0,"user_en scusate visto che vivo in un paese di merda e l'ue è peggio, politic parlando, posso io italiano ed europeo vaccinarmi comprando dall'estero il biglietto? penso che lo sputnik sia il miglior vaccino sul mercato in questo periodo. grazie i love russia❤✌",B322
203,1,5,4,1,non mi interessa quale vaccino mi fanno. mi piacciono sia la pfeiffer che la johansson.,B266
213,1,4,6,0,i migliori vaccini sono darwiniani link #mondo,B134
244,5,3,1,1,user user gli esperti del user mentre fanno il calcolo dell'aumento delle vaccinazioni in friuli. link,B336
253,6,1,4,0,"i #vaccini slegano l’andamento dei contagi da quello dei morti. vedremo il prosieguo, ma l’effetto comincia ad essere evidente. #variantedelta       russia 13%                uk  63%       1st dose                    1st dose link",B339
1,4,5,1,0,a ora che il vaccino sarà disponibile per me lo venderanno a 2 euro e 50 dal tabaccaio,B177
3,4,5,3,1,"insomma, uk segue israele e vuole introdurre il pass vaccinale per l'accesso a pub, ristoranti, teatri, etc. esenzione solo per ospedali e supermercati.  questi sono i due stati più avanti con le vaccinazioni.   poi non dite che non ve l'avevo detto. link",B48
16,4,5,3,1,...peccato che ora la bottery sia quarantenata in #china🇨🇳 e non si possa vedere la sua faccia visto che aveva detto che l'arrivo del #vaccino #johnsonandjohnson era la svolta per accelerare le vaccinazioni😬  #lineanotte,B254
46,6,1,4,0,#quellavoltachedraghi trovò un neurone nel cranio di un novax,B378
85,2,4,1,1,"user_pallina user i vaccini non ti impediscono di contrarre il virus, impediscono teoricamente di avere effetti avversi ad esso.",B500
4,3,5,6,2,user hanno vaccinato le pecore purtroppo per loro sono rimasti i lupi,B316
49,5,4,3,1,user coglione infame imbroglione ha votato a favore del passaporto vaccinale!!!!  infame lo sai che questo significa che l economia italiana crollerà a picco! perché i vaccini in italia non ci sono e non arrivano prima di natale  ! ciò significa che  il turismo italiano è morto! munez,B294
52,5,1,3,0,dopo quella vaccinazione 56 anni senza nemmeno un raffreddore ! link,B122
58,6,5,4,1,tutti gli errori europei sui vaccini - bisognava fare le scelte giuste e restare uniti ma... link,B188
70,4,5,1,1,angela da mondello si è vaccinata! così finiscono i miti!,B488
