label	text	index
2	secondo montagnier il coronavirus è stato manipolato per un vaccino anti-aids link	0
2	"morti in culla dopo il vaccino infanrix hexa. on. catalano: ""la lorenzin ancora non ha risposto alla mia interrogazione"" - link via user"	1
1	"al supermercato c'erano due che si stavano per menare per accaparrarsi gli ultimi 2 pacchi di farina sullo scaffale. cambiare ""farina"" con ""vaccino"" e avrete la prospettiva del futuro prossimo."	2
0	user_p6 user_m_1960 una vera riapertura si avrà solo con il vaccino e ci saranno due anni in cui dovremmo progettare un modello di vita in sicurezza, con attenzione ai nuovi focolai e cercando di sopravvivere economicamente. organizzare tutto questo è il vero problema.	3
1	coronavirus, il ‘vaccino-cerotto’ supera i test su animali ma ricciardi frena: pronto non prima di un anno - link link	4
0	user user certo che mi informo ed è per questo che le dico che se anche ci fosse un caso su 100000 che il vaccino possa non essere tollerato (cosa che può accadere anche con una aspirina) il beneficio che porta debellando malattie mortali è ben superiore.	5
0	"vaccino contro il covid-19 l'immunologo svizzero esce allo scopero: ""possibilità di successo"" link"	6
1	coronavirus, di maio “consenso per proposta italiana su vaccino” link link	7
0	user &gt; guardigione. se io (esempio), immodepressa, prendo il morbillo, la mia percentuale di sopravvivenza si abbassa molto. di conseguenza capisce bene che il vaccino è utile anche per gli altri e non solo per sé stessi.	8
1	il vaccino in arrivo dagli usa. «pronti i test sull’uomo» link link	9
0	con i primi freddi arrivano anche i malanni stagionali: l'influenza, normalmente una malattia lieve, pu causare forme gravi in persone a rischio. per questo motivo  bene vaccinarsi ogni anno! link #influenza #vaccino link	10
2	user_baolo ammesso che un vaccino che funzioni lo si trovi veramente, con tutto questo: salta i test, aggira le regole, usiamolo anche se non approvato, il rischio è che fra qualche anno ci si accorga che i danni sono superiori ai benefici ma a quel punto il disastro sarebbe già fatto.	11
1	user per il vaccino bisogna aspettare più di un anno, se tutto va bene!	12
0	coronavirus il vaccino e la scommessa italo-inglese “saremo pronti a settembre” link	13
2	user oltre alla mascherina ci vogliono imporre anche il bavaglio, mi sembra si stia esagerando, non vorrei che dopo i camici cominciassero con le camice di forza a chi rifiuta il vaccino e l'appalto di esse dato ai cugini di primo letto e alle fidanzatine	14
0	qualcuno no. e c'è chi lo ha capito, ma a un certo punto ha deciso di fregarsene. l'egoismo e l'irresponsabilità hanno prevalso. speriamo trovino presto una cura, speriamo trovino presto un vaccino. altrimenti non so come andrà. certo noi fragili resteremo a casa. ma non basterà.	15
1	"non dite cazzate!!!!coronavirus, die welt: ""trump cerca di corrompere azienda tedesca per avere il vaccino"". ma società farmaceutica smentisce - il fatto quotidiano link"	16
1	vaccino pomezia-oxford, la gran bretagna prenota 30 milioni di dosi link	17
2	non si pu offrire la prole a moloch.  basta vaccini.  roba da satanisti pi o meno consapevoli. cristo non usava vaccini e ancor meno li avrebbe usati con tracce di feti abortiti, ovaie di criceto, metalli pesanti ecc... come si fa a credere che siano cose buone? link	18
2	ma i soldi per il vaccino non doveva metterceli bill gates ah, no, lui mica è scemo. non finanzia la ricerca, ma la produzione! così, anche se il vaccino sarà inutile perché il virus è troppo mutevole tanto da ricolpire la stessa persona, lui  sa di certo cosa ci sarà dentro.	19
2	#meningite  #bergamo   e anche oggi il #vaccino funziona domani ???????  capre!! link	20
0	sono ricoverata in ospedale con altre tre signore di 46,65,71 anni  sono tre giorni che sono qui e sono già piena dei loro discorsi a sostegno del patriarcato e pensavo che avessero raggiunto il limite, invece no oggi si rivelano pure no-vax link	21
2	non serve a un cazzo il vaccino	22
0	domando per un amico: ma i #novax dove sono finiti ?	23
2	user conoscevo.. bhe nel caso di bergamo, però, erano un po obbligati a fare il secondo vaccino x il meningococco. tra meningite e #covid19 meglio il secondo. la possibilità però che i vaccini abbiano indebolito il sistema immunitario, favorendo l'infezione di corona, è molto alta.	24
0	gli #antivax sono spariti!  proprio adesso che con il #coronavirus potevano fare un figurone con i loro oli essenziali!	25
0	interessante analisi di fugnoli perché solo vaccino e banche centrali sconfiggeranno il coronavirus. l'analisi di fugnoli link di user	26
2	qualcuno si ricorda il nome del governatore della regione che si vanta di aver dato l'idea per la legge #lorenzin con una legge regionale che per prima ha escluso dai nidi comunali i bambini non #vaccinati? ricordiamocelo il 26 gennaio???? #bonaccini  link	27
0	grande risultato di una eccellenza scientifica italiana. l�istituto spallanzani ha isolato il #coronavirus   adesso la via per il vaccino � pi� breve. in alto mare invece l�isolamento dell�#idioziavirus. si camuffa e si trasforma miliardi di miliardi di volte in un secondo.	28
0	user user user ho fiducia nella scienza. mi sono salvata per un vaccino, perdonate il mio ottimismo ☺	29
2	user_sn studio americano: fra i vaccinati per l'influenza +36% di covid19 in forma grave link	30
2	"#covid19, #fauci: ""non torneremo alla normalità almeno per un anno. la soluzione vera è il #vaccino"". giusto il tempo che ci vuole per metterlo in commercio. link"	31
1	"paolo ascierto (oncologo pascale di napoli): ""#coronavirus, un #vaccino non sarà pronto entro 10/12 mesi"" le interviste di user user."	32
0	focus coronavirus - #cura e #vaccino, risultati promettenti dal fronte medico/scientifico - link #tg24 - link - #coronaviris link	33
2	questi bambini non festeggeranno nessun natale, il #vaccino li ha portati via. link	34
2	per tutti i fans del vaccino, ecco tutte le info per essere i primi a testare questa meravigliosa scoperta scientifica.  dove sono i #novax? sono impegnati a ordinare quintali di popcorn. ???????????? link	35
2	brescia. studentessa 19enne muore di meningite. soluzione : vaccinare tutti a tappeto. peccato che non vi dicano due cose.... 1) la ragazza era vaccinata contro la meningite. 2) la meningite pu essere un evento avverso al vaccino esavalente infarix hexa. link	36
2	ieri � morto il padre di una mia carissima amica. aveva 73 anni. gli era stato somministrato il vaccino antinfluenzale e da l� � iniziato un calvario: polmonite, problemi neurologici e di deambulazione, che lo hanno portato su una sedia a rotelle. #lastragesilenziosa	37
0	scusate ma se io tra i congiunti ho chi non si farà vaccinare (quando ci sarà un vaccino) finché uno dei suoi in famiglia non contrarrà il #covid19 sono autorizzato a considerare più congiunti di lui la mia ragazza e i genitori vero?	38
0	ma in tutto ciò le mamme novax che fine hanno fatto? #coronavirusitalia	39
0	trump dice che sono stati fatti grandiosi progressi sul vaccino anti-covid link	40
0	la gente ancora non capisce l'importanza di stare a casa finché non ci sarà un vaccino la vita di prima è impossibile	41
