created_at	text	STANCE CONCORDATA		
Thu May 06 18:44:21 +0000 2021	"il generale FIGLIUOLO dovrebbe chiedere scusa al popolo italiano
 
tante mostrine , pochi vaccini"	1		
Tue Jul 20 19:42:02 +0000 2021	"2,5 milioni di over 60 ancora non vaccinati.
5 milioni di over 50 ancora non vaccinati."	4		
Tue Jul 13 10:01:17 +0000 2021	"@DavidG__ @IzzoEdo E comunque stiamo dicendo cose diverse secondo me. 
Io farei un confronto del tasso di letalità per classe d'età rispetto alla variante Alpha e la Delta tra NON vaccinati. In questo modo vedi se la letalità della Delta è rimasta la stessa dell'alpha oppure è diminuita anche tra i"	4		
Mon May 10 18:40:22 +0000 2021	@notdeadyet5000 Vaccine?	6		
Sat Jun 19 22:27:51 +0000 2021	@Cartabellotta @francang1950 CTS ha detto esattamente ciò che ha detto EMA due giorni fa cioè non possono dare una certezza assoluta perché non ci sono abbastanza dati a riscontro questo lo sapevamo anche noi comuni mortali perché finora il richiamo seguiva il 1 vaccino da protocollo	4		
Thu Jun 03 01:15:19 +0000 2021	"@cris_cersei Nei laboratori militari c'è la prassi di sviluppare parallelamente a ogni arma biologica il suo vaccino.
https://t.co/Ei5BjQnzuY"	3		
Sun Sep 05 06:35:39 +0000 2021	"Manifestazione dei ""no green pass"" a Milano: circa mille persone sfilano per le vie del centro al grido di ""non sono vaccini, ma sieri assassini"" - Il Fatto Quotidiano https://t.co/yB051r7MzT"	4		
Thu Apr 08 12:45:12 +0000 2021	"I dati della nuova #campagnavaccinale testimoniano il cambio di passo: in un mese, da 60mila somministrazioni giornaliere a oltre 250mila e abbiamo ampliato platea vaccinatori e punti vaccinali (+30% in un mese). Ne ho parlato ieri su @OmnibusLa7
https://t.co/vNs8xDoK7m"	1		
Fri Jul 02 15:49:59 +0000 2021	Ma vaffanculo	6		
Fri Feb 26 10:02:40 +0000 2021	Marsala: rissa per i vaccini Covid CLICCA PER LEGGERE https://t.co/AeAE3stlDX	4		
Sun Aug 22 13:58:42 +0000 2021	"Il #COVID19 continua a colpire i #neonati. Tre casi nel Vicentino, tutti con familiari #nonvaccinati. Altri ricoveri in #rianimazione. Servizio di Giovanni Stefani, montaggio Gianpaolo Gigante #ioseguotgr
https://t.co/bjisTY0JqW"	1		
Mon Jun 28 21:47:17 +0000 2021	@phildancefc @TuvoReal @lucabattanta @valy_s @giulianol @ZombieBuster5 @Zoth2021 @LaMentegatta @boni_castellane Da giornalista ho sempre dato spazio a chi ha avuto il coraggio di esprimere dubbi sui vaccini. Non solo: da mesi tengo accesi i riflettori in prima persona sui problemi etici dei vaccini, ricevendo in cambio insulti e accuse di fare disinformazione. Non ne accetterò altri.	2		
Wed May 05 18:00:22 +0000 2021	@cattivamamy il foglio rumor di uscite di parlamentari sondaggi 1,7%. ma quando la smettono di fare solo gossip. es.  unl parlamentare di Iv sono stato determinante per governo draghi no campolillo, partito il primo piano shock presentato recovery plan piano vaccini perchè andare via boh!	5		
Tue Sep 07 11:32:59 +0000 2021	"terroristi e quindi non meritano nulla. Meritano che la cenere li bastoni”. 
GIULIANO CAZZOLA - deputato (Più Europa)

""Verranno messi agli arresti domiciliari chiusi in casa come dei sorci""
ROBERTO BURIONI - virologo

""Tutti i vaccinabili siano immunizzati con le buone o con le"	6		
Thu Jun 17 10:02:49 +0000 2021	@GiovaQuez Posizione di buon senso: all'aperto serve a poco, salvo luoghi molto affollati, inizia a fare molto caldo, e ha un peso psicologo non indifferente sulla popolazione vedere mascherine ovunque. Poi, probabilmente lui lo propone anche per strizzare occhio a no-vax vari, ma tant'è	6		
Mon Apr 26 07:05:04 +0000 2021	Mario Draghi: Chi rifiuta il vaccino sostenga i costi della propria ospedalizzazione! - Firma la petizione! https://t.co/TsytQKk02m via @ChangeItalia	1		
Sun Mar 14 08:47:32 +0000 2021	"#RT @Adnkronos: Covid, Figliuolo: ""Obiettivo tutti vaccinati entro l'estate"" https://t.co/xqb1mjUVRq"	1		
Sun Mar 14 16:23:15 +0000 2021	"Causa della morte? la statistica.
Dal giornalismo italiano è tutto."	6		
Sun Jul 04 16:20:53 +0000 2021	Aspettano di crepare per la COVID. 🤷🏻	6		
Wed Mar 17 19:19:12 +0000 2021	@denpopz Uno che ruba i vaccini agli altri paesi invece come si chiama?	4		
Thu Mar 11 13:45:07 +0000 2021	#NessunaCorrelazione, quindi #VaccinoAiGiornalisti che hanno sempre sostenuto l'obbligo.	3		
Sun Mar 14 18:35:09 +0000 2021	Piano vaccini | la preoccupazione dei medici di base | «Sui pazienti fragili c'è il rischio di una giungla delle priorità» – L'intervista https://t.co/2POcEvRE2Q	4		
Wed Mar 10 10:55:34 +0000 2021	"@giudiiiiiiiii Sicuramente non accetterò mai #Pfizer 👇
https://t.co/c5PcjG9Zl4
Fin'ora non ho letto nulla di simile sul #vaccino #Sputnik 
Qualcuno che ne sappia più di me ? https://t.co/Bbe1pTbyCO"	3		
Thu Apr 01 16:03:20 +0000 2021	Vaccini Covid Lombardia, Moratti: “I pazienti vulnerabili possono aderire con il sito delle Poste” https://t.co/L05OBGC4Cu	4		
Thu Jun 17 07:31:20 +0000 2021	"@FmMosca ""il vaccino è il futuro""
""Mi farei iniettare anche petrolio pur di poter tornare libero""

Questi sono due esempi di cose che hanno udito le mie povere orecchie"	3		
Tue Mar 23 15:07:49 +0000 2021	Leu dunque nel PD. La Ditta bersandalemiana tutta riunita.	6		
Mon Mar 29 20:52:59 +0000 2021	Iniziate vaccinazioni over 70. Finalmente! #Toscana #vaccini	1		
Mon Jul 05 09:22:48 +0000 2021	@Mark33846202 La vaccinazione? L’assegno unico per i figli? Abbiamo aumentato il deficit a dismisura , non si può continuare	5		
Sat Apr 24 15:00:41 +0000 2021	Vaccini, Figliuolo: “In arrivo 5 milioni di fiale”. I numeri della campagna: un anziano su due è immunizzato, prima dose al 45% degli over 70 https://t.co/0fDWtYV8Qq	4		
Wed Mar 03 07:48:36 +0000 2021	aggiornamento vaccini: non si capisce un cazzo a quanto pare la mia scuola n9n ha manco ancora fornito i nominativi degli insegnanti :D	6		
Tue May 11 05:51:32 +0000 2021	"Utili di Pfizer coprono + che adeguatamente costi e rischi
Adesso x evitare milioni di morti e rischi varianti x noi bisogna fare licenze obbligatorie nei paesi emergenti e/o sospendere brevetto su questo vaccino (non su quelli che verranno o su farmaci non #Covid_19) #11maggio https://t.co/hIdTDJzGNv"	1		
Fri Jul 16 08:23:21 +0000 2021	"@GiovaQuez Spieghiamolo a quelli che dicono che ""per colpa dei no vax ci chiuderanno in casa a ottobre"""	5		
Fri Jul 16 13:18:33 +0000 2021	"@SkyTG24 1-gli esperti non sanno nulla. 
2- tutti i vaccini sono ancora in fase sperimentale. 
3- la fascia di età in questione ha un fattore di rischio trascurabile. 
Ne riparliamo nel 2023."	3		
Fri Jul 02 09:03:50 +0000 2021	"@Talkin_Hawkin @RomaPuledrina @Gio1ng È proprio questo il punto: ci si sta affidando ad un unico miracolo, che tra l'altro è ancora in fase sperimentale.
Ribadisco che non sono contro i vaccini, ma rimango perplesso nel constatare che non si vogliano considerare altre soluzioni."	2		
Sat Jul 03 08:17:54 +0000 2021	Sto andando a fare il vaccino e sono in ansissima	2		
Fri Apr 09 18:59:04 +0000 2021	@Corriere Quello che fa veramente incaxxare è che in Sardegna, pretendevano assolutamente che tutti quelli che arrivavano fossero vaccinati! E loro non di vaccinano?	4		
Wed Apr 07 12:17:06 +0000 2021	"@EttoriGiuliano Mi piacerebbe essere contadino 
In ogni caso in una comunità si può esprimere il proprio gradimento o critica.
E in una comunità europea non ha senso che ogni nazione vada per la sua strada tra vaccinazioni e chiusure.
Ci vorrebbe uniformità,oppure ciao europa"	4		
Wed May 19 22:36:32 +0000 2021	Vaccine 1... Complete!	6		
Mon May 24 19:40:50 +0000 2021	"Festa: “Ritardi nelle vaccinazioni. Fuksas ha rinunciato al progetto Dogana”

https://t.co/B6klQvIyJv https://t.co/kWqal7IM26"	4		
Sun Sep 05 16:51:02 +0000 2021	una ricerca #pfizer ha concluso che frizionandolo appena sulla testa la copertura vaccinale arriva al 66,6% e aumenta di un tot ogni qualvolta ci specchiamo, fino a raggiungere l'immunizzazione totale dopo il terzo plenilunio, ma solo finché non ci rifacciamo lo shampoo... 🦠	5		
Wed Jul 21 18:41:04 +0000 2021	"Vero. Non basta la TV che ci assilla anche al mare non si parla d'altro.
Ti puoi anche imbattere in gente che ti guarda male se passi troppo vicino al suo ombrellone.
Se avete paura statevene a casa vostra in costume da bagno sul balcone di casa."	6		
Wed Mar 24 12:17:01 +0000 2021	"COLORO CHE CI HANNO MESSO PAURA A CAUSA DEL COVID, SONO GLI STESSI CHE CI VOGLIONO IMPORRE LA SOMMINISTRAZIONE DEL VACCINO 
https://t.co/GAcp7W5yHP"	3		
Sun Jun 13 09:13:55 +0000 2021	Tra due ore mi vaccino https://t.co/0o1wlPOMew	1		
Mon Mar 08 08:52:06 +0000 2021	Speranza: “Entro l’estate tutti gli italiani vaccinati, questo è l’obiettivo” | VIDEO https://t.co/3H6WSEeV1i via @nextquotidiano	1		
Sat Sep 04 08:28:04 +0000 2021	"Chi è contro il #greenpass è contro la libertà e la sicurezza…
A questo punto sono matematicamente sicuri di avere a che fare con dei deficienti."	6		
Thu Jul 22 15:38:33 +0000 2021	"Cosa non ci hanno detto in Italia sui vaccini😱

 https://t.co/Oyp4au2Zyd"	3		
Sun Apr 04 10:21:10 +0000 2021	@Robdelirob @Cartabellotta Manolete Manolete, si no sabes ¿porqué te metes? Novax che mettono like e retwittano un messaggio di sostegno a Cartabellotta. Sovranisti con la bandiera dell'Irlanda nel profilo.	5		
Fri Mar 26 05:00:02 +0000 2021	@CremaschiG @potere_alpopolo Fammi capire: sull'obbligatorietà del vaccino e sul passaporto vaccinale cosa ne pensi?	4		
Tue Sep 07 10:53:50 +0000 2021	"@MarcoStac Se è contrario al #greenpass, che è tutt'altro che strumento valido, ci sono buone possibilità che non sia vaccinato. Il che è davvero triste.
#Barbero"	1		
Wed Apr 28 08:50:14 +0000 2021	"📯 
La «categoria 4» finalmente!! (per età - da oggi i 55-59enni con esenzione per malattia cronica - ma prima di riaprire alle normali fasce d'età si faranno tutti i fragili over 60)
Now on @Corriere
#fragili #vaccini #COVID19 #Lombardia
https://t.co/HWnwUTvEbh"	1		
Fri May 28 08:12:55 +0000 2021	Vaccinato questa mattina 08 00  prima dose con  Pftruser  PUFFAZER..... Pitzifur  PIZZIFFER   vabbe' so vaccinato 😂😂😂😂  #PfizerVaccine	1		
Wed Jun 16 08:28:00 +0000 2021	@alexfuse @ElianoReale @ClaudioSalvaro @lucacozzuto non indipendentemente dalla variante. B117 in UK e' abbondantemente sotto 1 con il livello di vaccinazioni attuale e riaperture.	1		
Tue Jul 27 21:47:50 +0000 2021	"Ho letto abbastanza cazzate su #DeDonno da parte di fascisti e novax. 
Adesso che lui ha compiuto l'estremo gesto, queste bestie cominciano con il solito tam tam complottista. 
Almeno per rispetto dell'uomo tacete una buona volta.
Strumentalizzatevi sto cazzo."	1		
Wed Jun 23 16:51:13 +0000 2021	Tutti voi che state ironizzando sul #DeltaPlus #DeltaVariant... ma l'avete fatta almeno una dose di vaccino? No perché nel caso non sareste nella posizione giusta per fare dello spirito.	1		
Sun Jul 18 16:39:19 +0000 2021	@Corriere VACCINATI POSITIVI? 🤭😂😂	6		
Tue Aug 31 19:57:45 +0000 2021	mia nonna fhe cerca di far ragionare mia madre e farci fare il vaccino💗💖💘💕	1		
Fri Jun 11 13:27:24 +0000 2021	"VIDEO
#Vaccinazioni a #FrabosaSottana, #Cirio: ""Ai nostri giovani somministrato Pfizer e Moderna, la scienza ci dia indicazioni chiare sull'uso dei vaccini"". ""Da lunedì Piemonte zona bianca"" https://t.co/kR6XLWLNus"	4		
Mon Apr 12 07:41:28 +0000 2021	Uomo del NJ in ospedale con COVID dopo essere stato completamente vaccinato.  Ma almeno ha il suo passaporto, giusto? #earlytreatment is the key! https://t.co/I9sqp8nor6	3		
Wed Jun 02 22:02:18 +0000 2021	@Quirinale Viva   le  maschere  viva  i  vaccini,  fatte  di  piscio	5		
Tue May 18 13:11:39 +0000 2021	Vaccini, Figliuolo: Si vada avanti con over 60, se no non ne usciamo più https://t.co/lTsR3UHVg4	1		
Thu Jun 10 07:44:21 +0000 2021	@fattoquotidiano @ErmannoKilgore Zone rosse ora con questo caldo. L'anno scorso i vaccini non c'erano e ora che ci sono è la stessa minestra. Ma andate a caxare.	3		
Sun Jul 25 14:51:31 +0000 2021	Tu provi a far finta di niente, a mantenere la calma poi sti novax si paragonano agli ebrei durante la seconda guerra mondiale e ti vien voglia di prenderli a sberle tipo mulino a vento.	1		
Sat Aug 21 18:46:20 +0000 2021	"@StaseraItalia Giulio Tremonti sul caos-vaccini: ""Colpa dello Stato, violata la Costituzione. Mario Draghi? Perché per ogni vaccinazione che fa, ogni sanitario deve compilare e firmare undici fogli».
https://t.co/YSvZ5nxQWC"	3		
Mon Aug 30 07:16:09 +0000 2021	"@GioChirilly @Darkness_andme Qualcuno vorrebbe escludere i cittadini non vaccinati dal #SSN.
Va bene, pero' non saremo piu' tenuti a versare tasse e contribuzioni e ci rivolgeremo al privato.
Alla fin dei conti gia' succede: per una visita col SSN mesi di attesa...privatamente domattina alle ore 8.00 !!!"	3		
Thu Mar 25 15:41:58 +0000 2021	@danilotaino @Meekong2 Ed è proprio per questo che occorrerebbe smettere con l’isteria collettiva. A metà luglio l’Ue sarà dove saranno gli USA a inizio giugno. A fine anno produrrà più dosi degli USA. Keep calm and carry on vaccination and export.	1		
Mon Jul 19 06:29:53 +0000 2021	@carlinojr @gerypa @danielamartani @StaseraItalia Se la percentuale di positivi che hanno sintomi lievi tra i vaccinati è maggiore dei positivi con sintomi lievi tra i non vaccinati no, non possiamo dirlo. Per dirlo serve un grafico che mostri le percentuali separate.	1		
Wed Mar 31 11:27:58 +0000 2021	Vaccine Mickey	6		
Sat May 15 10:54:22 +0000 2021	Vaccini in Sardegna, ieri oltre 13 mila somministrazioni e 60 mila prenotazioni https://t.co/63Jn7Adrp1	4		
Thu Apr 29 21:25:02 +0000 2021	Comunque il 16 ho la prima dose del vaccino 👉🏼👈🏼	1		
