"label","text"
2,"user per le missioni glielo ordinano, ""lo fanno per la patria"" e vengono pagati. anche la martani, dietro compenso, si è iniettata vaccini contro cui faceva finte lotte."
1,"vaccini: quasi 30mila dosi somministrate nell'oristanese link"
2,"conferenza del dottor charles morgan all'accademia militare di west point: controllo remoto del cervello umano tramite vaccini mrna - database italia link via user"
1,"brasile. al via campagna “vaccini nel braccio e cibo nel piatto” | radio m modica link"
2,"fino che non avranno vaccinato 18 milioni di italiani loro non si fermano lo sa la sx e anche il cdx"
1,"user senatore lei è vaccinato o no? rsvp"
1,"giro di vite per 45mila sanitari. per i non vaccinati stop all’attività link"
0,"user a dire il vero è la stessa cosa che chiedono i novax e i no greenpass cui voi fate l’occhiolino… veda lei…"
1,"piano vaccini | la preoccupazione dei medici di base | «sui pazienti fragili c'è il rischio di una giungla delle priorità» – l'intervista link"
0,"user user user user_kuzzo cosa c’è di non chiaro nell’affermazione “i vaccini non proteggono dal contagio ma da sviluppo di forme di malattia gravi / morte” iniziate a sembrare seriamente deficienti a riportare ste notizie."
0,"user chi sceglie di non vaccinarsi è come quello che non rispetta il divieto di sosta e di fermata nei giorni di mercato. chi si è vaccinato ha pagato il suolo pubblico e si è iscritto alla camera di commercio, e loro ne approfittano a sbafo."
2,"user user_lella user user_laffitte user per non piegarmi al vaccino, devo assolutamente cambiare lavoro. chi può aiutarmi, sappia che ho sempre fatto qualunque cosa, tranne rubare."
1,"analista della msnbc ridicolizzato per aver detto che il vaccino e’ sembrato “una ondata di euforia” link"
1,"user già che siamo in argomento qualcuno potrebbe spiegare perché la user è penultima per la vaccinazione degli ultraottantenni affidata fin da subito  e giustamente ai medici di famiglia? user user"
2,"user e’ quello a cui puntavano fin dall’inizio (ma era roba da complottisti). il test è inaffidabile ed è un trattamento medico che nessuno può imporre alla persona, tantomeno il vaccino. il #passaportovaccinale possono metterselo in quel posto."
1,"new post: leggi la notizia! in vista obbligo vaccinale per sanitari no vax: pena la link #veneto #notizie #news"
0,"user user user_scientists ho letto banchi a rotelle e mi sono venuti i brividi... certo in teoria sarebbe meglio non buttare soldi. il problema vero di reithera è di essere un vaccino tradizionale, non rna. se il risultato è un altro az o jj che non vorrà nessuno, tanto vale fermarsi e investire in rna"
1,"2 settembre alle 20:00, a vibo, sarò alla presentazione del libro di matteo bassetti.
intanto è notizia di oggi:
ennesima aggressione dei no vax nei confronti dell'infettivologo bassetti inseguito e minacciato: ""ci ucciderete tutti con questi vaccini e ve la faremo pagare"". link"
0,"𝐒𝐞𝐧𝐭𝐢𝐫𝐬𝐢 𝐫𝐞𝐬𝐩𝐨𝐧𝐬𝐚𝐛𝐢𝐥𝐢  per se e per gli altri!
lo stato italiano e la situazione storica ci chiedono e ci impongono la #responsabilita attraverso la chiamata alla vaccinazione di massa. 
#vaccini #covid19 #governoitaliano #pandemia 
link"
0,"mia nonna fhe cerca di far ragionare mia madre e farci fare il vaccino💗💖💘💕"
1,"un nuovo articolo: (vaccini covid, da domani in sicilia prenotazioni per i ragazzi dai 12 ai 15 anni) è stato pubblicato su: tempo stretto - ultime notizie da messina e reggio calabria - link link"
1,"vaccini, marco rizzo-pc: +è la guerra dei vaccini, sputnik dato che è russo non si può dare+"" link 54"
0,"user user user non ci vedo nulla da ridere, mi sembra un ragionamento più che sensato quello di avere la possibilità poter comprare il vaccino in farmacia, nulla togliendo ovviamente a chi aspetta il servizio sanitario nazionale"
1,"user urge una legge contro l’odio verso chi vuole le restrizioni ai non vaccinati che odiano i vaccinati che… insomma, urge una legge 🙄"
0,"cari novax “ libertà di scelta”,  la vostra libertà finisce dove incomincia la mia di non essere contagiata da voi #novax"
0,"user user ed è proprio per questo che occorrerebbe smettere con l’isteria collettiva. a metà luglio l’ue sarà dove saranno gli usa a inizio giugno. a fine anno produrrà più dosi degli usa. keep calm and carry on vaccination and export."
2,"user user i testimonial come lui  e  affini dovrebbe pubblicare i titoli anticorpali prima e dopo il vaccino. così, giusto per confermare che sbadatamente  loro non abbiano ricevuto il placebo .lo facciamo perché ci teniamo tanto alla loro salute e alla scienza"
2,"link

#astrazeneca , #antonellaviola e l'allarme sui #vaccini: ""i #rischi superano ampiamente i #benefici, ma non l'hanno letto?"" 

#liberoquotidiano"
1,"user user user il problema è che in italia il medico non può proporti di fare una dose di vaccino diverso se hai più di 60 anni.
l'aifa ha autorizzato la cosa solo per under 60.
ora capisco che draghi è il pdc, ma quando va dal medico agisce da privato cittadino e non da capo di governo..."
0,"user_dbnw user user che noia 
comunque chi guarda i positivi col vaccino vuol dire che non ha capito niente"
